ID,Category,Name_ZH,Name_EN,Element,Action,asset_file
1,Base,圓圓水母,Puff Jelly,水,Idle,01_水_Idle.png
2,Base,水滴水母,Drop Jelly,水,Idle,02_水_Idle.png
3,Base,花瓣水母,Bloom Jelly,水,Idle,03_水_Idle.png
4,Base,雲朵水母,Cloud Jelly,水,Idle,04_水_Idle.png
5,Base,小草水母,Sprout Jelly,水,Idle,05_水_Idle.png
6,Base,星粒水母,Star Jelly,水,Idle,06_水_Idle.png
7,Base,水晶水母,Gem Jelly,水,Idle,07_水_Idle.png
8,Base,氣泡水母,Bubble Jelly,水,Idle,08_水_Idle.png
9,Base,蘑菇水母,Shroom Jelly,水,Idle,09_水_Idle.png
10,Base,貝殼水母,Shell Jelly,水,Idle,10_水_Idle.png
11,Base,飛碟水母,UFO Jelly,水,Idle,11_水_Idle.png
12,Base,幽靈水母,Ghost Jelly,水,Idle,12_水_Idle.png
13,Base,果凍水母,Jello Jelly,水,Idle,13_水_Idle.png
14,Base,小刺水母,Urchin Jelly,水,Idle,14_水_Idle.png
15,Breed,櫻花水母,Sakura Jelly,水,Idle,15_水_Idle.png
16,Breed,仙人掌水母,Cactus Jelly,水,Idle,16_水_Idle.png
17,Breed,蘋果水母,Apple Jelly,水,Idle,17_水_Idle.png
18,Breed,蓮花水母,Lotus Jelly,水,Idle,18_水_Idle.png
19,Breed,貓耳水母,Cat Ear Jelly,水,Idle,19_水_Idle.png
20,Breed,小魔王水母,Devil Jelly,水,Idle,20_水_Idle.png
21,Breed,羽翼水母,Winged Jelly,水,Idle,21_水_Idle.png
22,Breed,小龍水母,Dragon Jelly,水,Idle,22_水_Idle.png
23,Breed,茶杯水母,Teacup Jelly,水,Idle,23_水_Idle.png
24,Breed,手風琴折頁水母,Accordion Jelly,水,Idle,24_水_Idle.png
25,Breed,糖果水母,Candy Jelly,水,Idle,25_水_Idle.png
26,Breed,甜甜圈水母,Donut Jelly,水,Idle,26_水_Idle.png
27,Breed,月芽水母,Crescent Jelly,水,Idle,27_水_Idle.png
28,Breed,彗星水母,Comet Jelly,水,Idle,28_水_Idle.png
29,Breed,火山水母,Volcano Jelly,水,Idle,29_水_Idle.png
30,Breed,雪花水母,Snowflake Jelly,水,Idle,30_水_Idle.png
31,Breed,皇冠水母,Crown Jelly,水,Idle,31_水_Idle.png
32,Breed,沙漏水母,Hourglass Jelly,水,Idle,32_水_Idle.png
33,Breed,燈籠水母,Lantern Jelly,水,Idle,33_水_Idle.png
34,Breed,羅盤水母,Compass Jelly,水,Idle,34_水_Idle.png
35,Breed,彩虹水母,Rainbow Jelly,水,Idle,35_水_Idle.png
36,Breed,音符水母,Music Jelly,水,Idle,36_水_Idle.png
37,Breed,螺旋槳風車水母,Propeller Jelly,水,Idle,37_水_Idle.png
38,Breed,金魚水母,Goldfish Jelly,水,Idle,38_水_Idle.png
39,Breed,洋傘水母,Parasol Jelly,水,Idle,39_水_Idle.png
40,Breed,馬卡龍水母,Macaron Jelly,水,Idle,40_水_Idle.png
41,Tertiary,宇宙星空水母,Cosmic Jelly,水,Idle,41_水_Idle.png
42,Tertiary,大天使水母,Seraph Jelly,水,Idle,42_水_Idle.png
43,Tertiary,渾天星環水母,Armillary Jelly,水,Idle,43_水_Idle.png
44,Tertiary,九尾狐仙水母,Kitsune Jelly,水,Idle,44_水_Idle.png
45,Tertiary,深海女皇水母,Empress Jelly,水,Idle,45_水_Idle.png
46,Tertiary,夢境捕夢水母,Dreamcatcher Jelly,水,Idle,46_水_Idle.png
47,Tertiary,世界樹水母,Bonsai Orbital Yggdrasil Jelly,水,Idle,47_水_Idle.png
48,Tertiary,創世方塊水母,Genesis Jelly,水,Idle,48_水_Idle.png
